country_iso_code,city_name,station_european_code,type_of_station,station_type_of_area,component_caption,component_name,statistics_year,statistic_value,measurement_unit,above_LV?,measurement_european_group_code,statistics_average_group,statistic_shortname,statistics_percentage_valid,city_code,UA_city_pop,percentage_traffic_population,percentage_background_population,count_type_by_city,assigned_population
AT,Klagenfurt,AT2KA21,Traffic,urban,NO2,Nitrogen dioxide (air),2012,36.067,µg/m3,0,500,hour,Mean,95.492,AT006C1,93236,6.4,93.6,2,2983.552
AT,Klagenfurt,AT2KA61,Traffic,suburban,NO2,Nitrogen dioxide (air),2012,45.4,µg/m3,1,100,hour,Mean,94.843,AT006C1,93236,6.4,93.6,2,2983.552
AT,Klagenfurt,AT2KA71,Background,urban,NO2,Nitrogen dioxide (air),2012,26.402,µg/m3,0,100,hour,Mean,94.957,AT006C1,93236,6.4,93.6,1,87268.896
AT,Linz,AT4S184,Background,urban,NO2,Nitrogen dioxide (air),2012,28.61,µg/m3,0,100,hour,Mean,93.887,AT003C1,185739,6.4,93.6,3,57950.568
AT,Linz,AT4S412,Background,suburban,NO2,Nitrogen dioxide (air),2012,27.753,µg/m3,0,100,hour,Mean,91.929,AT003C1,185739,6.4,93.6,3,57950.568
AT,Linz,AT4S415,Traffic,urban,NO2,Nitrogen dioxide (air),2012,31.288,µg/m3,0,100,hour,Mean,90.949,AT003C1,185739,6.4,93.6,2,5943.648
AT,Linz,AT4S416,Background,urban,NO2,Nitrogen dioxide (air),2012,30.332,µg/m3,0,500,hour,Mean,91.746,AT003C1,185739,6.4,93.6,3,57950.568
AT,Linz,AT4S431,Traffic,urban,NO2,Nitrogen dioxide (air),2012,49.667,µg/m3,1,100,hour,Mean,93.078,AT003C1,185739,6.4,93.6,2,5943.648
AT,Salzburg,AT51000,Traffic,urban,NO2,Nitrogen dioxide (air),2012,53.318,µg/m3,1,500,hour,Mean,95.628,AT004C1,147337,6.4,93.6,2,4714.784
AT,Salzburg,AT51066,Traffic,urban,NO2,Nitrogen dioxide (air),2012,32.276,µg/m3,0,500,hour,Mean,95.435,AT004C1,147337,6.4,93.6,2,4714.784
AT,Salzburg,AT51200,Background,urban,NO2,Nitrogen dioxide (air),2012,25.597,µg/m3,0,100,hour,Mean,95.503,AT004C1,147337,6.4,93.6,1,137907.432
AT,Graz,AT60138,Background,suburban,NO2,Nitrogen dioxide (air),2012,22.892,µg/m3,0,100,hour,Mean,95.617,AT002C1,247904,6.4,93.6,4,58009.536
AT,Graz,AT60139,Background,suburban,NO2,Nitrogen dioxide (air),2012,26.928,µg/m3,0,100,hour,Mean,93.761,AT002C1,247904,6.4,93.6,4,58009.536
AT,Graz,AT60164,Traffic,urban,NO2,Nitrogen dioxide (air),2012,47.144,µg/m3,1,100,hour,Mean,95.401,AT002C1,247904,6.4,93.6,2,7932.928
AT,Graz,AT60170,Background,urban,NO2,Nitrogen dioxide (air),2012,32.521,µg/m3,0,100,hour,Mean,95.583,AT002C1,247904,6.4,93.6,4,58009.536
AT,Graz,AT60171,Traffic,urban,NO2,Nitrogen dioxide (air),2012,31.091,µg/m3,0,100,hour,Mean,96.653,AT002C1,247904,6.4,93.6,2,7932.928
AT,Graz,AT60172,Background,urban,NO2,Nitrogen dioxide (air),2012,33.951,µg/m3,0,100,hour,Mean,95.697,AT002C1,247904,6.4,93.6,4,58009.536
AT,Innsbruck,AT72106,Traffic,urban,NO2,Nitrogen dioxide (air),2012,37.422,µg/m3,0,100,hour,Mean,96.095,AT005C1,110718,6.4,93.6,2,3542.976
AT,Innsbruck,AT72110,Traffic,urban,NO2,Nitrogen dioxide (air),2012,42.165,µg/m3,1,500,hour,Mean,96.072,AT005C1,110718,6.4,93.6,2,3542.976
AT,Innsbruck,AT72113,Background,suburban,NO2,Nitrogen dioxide (air),2012,23.438,µg/m3,0,100,hour,Mean,96.289,AT005C1,110718,6.4,93.6,1,103632.048
AT,Wien,AT900ZA,Background,urban,NO2,Nitrogen dioxide (air),2012,20.732,µg/m3,0,100,hour,Mean,95.196,AT001C1,1652790,6.4,93.6,7,221001.634286
AT,Wien,AT90AKC,Traffic,urban,NO2,Nitrogen dioxide (air),2012,27.36,µg/m3,0,100,hour,Mean,95.23,AT001C1,1652790,6.4,93.6,9,11753.1733333
AT,Wien,AT90FLO,Traffic,urban,NO2,Nitrogen dioxide (air),2012,28.931,µg/m3,0,100,hour,Mean,93.932,AT001C1,1652790,6.4,93.6,9,11753.1733333
AT,Wien,AT90LAA,Background,urban,NO2,Nitrogen dioxide (air),2012,29.528,µg/m3,0,100,hour,Mean,95.401,AT001C1,1652790,6.4,93.6,7,221001.634286
AT,Wien,AT90LOB,Background,suburban,NO2,Nitrogen dioxide (air),2012,15.06,µg/m3,0,100,hour,Mean,94.638,AT001C1,1652790,6.4,93.6,7,221001.634286
AT,Wien,AT90MBA,Traffic,urban,NO2,Nitrogen dioxide (air),2012,53.568,µg/m3,1,500,hour,Mean,95.401,AT001C1,1652790,6.4,93.6,9,11753.1733333
AT,Wien,AT90TAB,Traffic,urban,NO2,Nitrogen dioxide (air),2012,38.6,µg/m3,0,500,hour,Mean,94.911,AT001C1,1652790,6.4,93.6,9,11753.1733333
AT,Wien,AT9BELG,Traffic,urban,NO2,Nitrogen dioxide (air),2012,33.21,µg/m3,0,500,hour,Mean,95.401,AT001C1,1652790,6.4,93.6,9,11753.1733333
AT,Wien,AT9GAUD,Traffic,urban,NO2,Nitrogen dioxide (air),2012,30.504,µg/m3,0,100,hour,Mean,94.786,AT001C1,1652790,6.4,93.6,9,11753.1733333
AT,Wien,AT9JAEG,Background,suburban,NO2,Nitrogen dioxide (air),2012,11.228,µg/m3,0,100,hour,Mean,95.355,AT001C1,1652790,6.4,93.6,7,221001.634286
AT,Wien,AT9KEND,Traffic,urban,NO2,Nitrogen dioxide (air),2012,30.021,µg/m3,0,100,hour,Mean,92.691,AT001C1,1652790,6.4,93.6,9,11753.1733333
AT,Wien,AT9LIES,Traffic,suburban,NO2,Nitrogen dioxide (air),2012,28.049,µg/m3,0,100,hour,Mean,94.41,AT001C1,1652790,6.4,93.6,9,11753.1733333
AT,Wien,AT9RINN,Traffic,urban,NO2,Nitrogen dioxide (air),2012,40.459,µg/m3,0,100,hour,Mean,95.412,AT001C1,1652790,6.4,93.6,9,11753.1733333
AT,Wien,AT9SCHA,Background,suburban,NO2,Nitrogen dioxide (air),2012,16.499,µg/m3,0,100,hour,Mean,95.389,AT001C1,1652790,6.4,93.6,7,221001.634286
AT,Wien,AT9STAD,Background,urban,NO2,Nitrogen dioxide (air),2012,28.435,µg/m3,0,100,hour,Mean,95.378,AT001C1,1652790,6.4,93.6,7,221001.634286
AT,Wien,AT9STEF,Background,urban,NO2,Nitrogen dioxide (air),2012,25.949,µg/m3,0,500,hour,Mean,95.412,AT001C1,1652790,6.4,93.6,7,221001.634286
BE,Antwerpen,BELHB23,Background,suburban,NO2,Nitrogen dioxide (air),2012,28.883,µg/m3,0,100,hour,Mean,95.23,BE002C1,462098,7.4,92.6,1,427902.748
BE,Bruxelles / Brussel,BETB004,Traffic,urban,NO2,Nitrogen dioxide (air),2012,38.144,µg/m3,0,100,hour,Mean,97.735,BE001C1,1003562,7.4,92.6,5,14852.7176
BE,Bruxelles / Brussel,BETB005,Traffic,urban,NO2,Nitrogen dioxide (air),2012,35.766,µg/m3,0,100,hour,Mean,75.922,BE001C1,1003562,7.4,92.6,5,14852.7176
BE,Bruxelles / Brussel,BETB006,Background,urban,NO2,Nitrogen dioxide (air),2012,34.293,µg/m3,0,100,hour,Mean,97.473,BE001C1,1003562,7.4,92.6,4,232324.603
BE,Bruxelles / Brussel,BETB011,Background,suburban,NO2,Nitrogen dioxide (air),2012,26.565,µg/m3,0,100,hour,Mean,97.552,BE001C1,1003562,7.4,92.6,4,232324.603
BE,Bruxelles / Brussel,BETMEU1,Background,suburban,NO2,Nitrogen dioxide (air),2012,30.839,µg/m3,0,100,hour,Mean,97.234,BE001C1,1003562,7.4,92.6,4,232324.603
BE,Mons,BETN070,Background,suburban,NO2,Nitrogen dioxide (air),2012,30.389,µg/m3,0,100,hour,Mean,94.957,BE009C1,91233,7.4,92.6,1,84481.758
BE,Bruxelles / Brussel,BETR001,Traffic,urban,NO2,Nitrogen dioxide (air),2012,40.577,µg/m3,1,100,hour,Mean,97.291,BE001C1,1003562,7.4,92.6,5,14852.7176
BE,Bruxelles / Brussel,BETR002,Traffic,suburban,NO2,Nitrogen dioxide (air),2012,48.127,µg/m3,1,100,hour,Mean,96.926,BE001C1,1003562,7.4,92.6,5,14852.7176
BE,Bruxelles / Brussel,BETR012,Background,suburban,NO2,Nitrogen dioxide (air),2012,24.818,µg/m3,0,100,hour,Mean,98.031,BE001C1,1003562,7.4,92.6,4,232324.603
